Parent Account Id,Translated Account,TP Account ID,Field Subregion,Field Sub Segment
0a080335-845f-4176-8154-8a06be8a92a3,AKBANK T.A.Ş.,1099732.0,Turkey,Major - Commercial Other
d4b35c56-bc68-417c-b712-ee09157f8942,AMDOCS MANAGEMENT LTD,2417794.0,Israel,Major - Commercial Other
6e3e8e34-413f-41d5-b26e-42cb3cb5e2cb,PEOPLECERT HELLAS AE,20746147.0,Greece/Cyprus/Malta,Major - Education
96764bdc-dc20-432b-a7fb-bb09bd56d4c0,PADAGIS,90636798.0,Israel,Major - Commercial Other
a7dd9718-ecc0-4237-86e2-c8275b798095,NetRefer,35972228.0,Greece/Cyprus/Malta,Major - Commercial Other
cafdffdf-d59a-41d1-adaf-8c4a767c3270,Boyner Holding A.Ş.,2378859.0,Turkey,Major - Commercial Other
6235f9a3-079c-4ff5-97e1-6f21bc26a288,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,2572162.0,Turkey,Major - Commercial Other
e73376e6-3f74-48a2-8011-8e6e7ae19655,Denizbank a.s.,2170163.0,Turkey,Major - Commercial Other
baa82852-6512-431c-bb2e-e03ed1f19657,VAKIFLAR BANKASI T.A.O.,2286807.0,Turkey,Major - Commercial Other
03c7d2e4-2352-4b18-be73-91b42f1bdde6,Calik Holding A.Ş.,2378871.0,Turkey,Major - Commercial Other
2b92afd8-5f40-e711-810f-5065f38b81a1,Rimac Automobili doo,34693832.0,Adriatics,Major - Commercial Other
cd5d821f-924e-4020-96fc-afa471975b69,Garanti Bank A.Ş.,2287771.0,Turkey,Major - Commercial Other
8d142575-ade3-42d9-b492-1b17e554b868,Piraeus Bank,1339018.0,Greece/Cyprus/Malta,Major - Commercial Other
e86a9f04-7960-4c1d-8312-993c406da878,VAKIFLAR BANKASI T.A.O.,2286807.0,Turkey,Major - Commercial Other
f50bba2b-3173-421c-8335-3be9d9fe8b10,Orbico doo,9203814.0,Adriatics,Major - Commercial Other
815e438b-0271-4197-83f7-d6c2f0048c8f,Kaizen Gaming International Limited,33549906.0,Greece/Cyprus/Malta,Major - Commercial Other
89aad4b3-f460-4e68-9b76-94f8be9a2720,Alpha Bank,935522.0,Greece/Cyprus/Malta,Major - Commercial Other
851028b4-b336-4954-a724-354e4ebb05a6,Podravka dd,1886204.0,Adriatics,Major - Commercial Other
