iter	RMSE
0	17686.17932
1	17591.82143
2	17503.12846
3	17425.9579
4	17330.54839
5	17239.45455
6	17152.16821
7	17080.87391
8	16994.54456
9	16908.36597
10	16821.73567
11	16739.23033
12	16667.1386
13	16594.99401
14	16513.08326
15	16449.40717
16	16364.91196
17	16288.73263
18	16209.48865
19	16143.27487
20	16067.97853
21	15985.19352
22	15903.78705
23	15822.84067
24	15739.67206
25	15677.44173
26	15611.14084
27	15551.87941
28	15470.72427
29	15388.87299
30	15320.86149
31	15238.37213
32	15164.49868
33	15095.67682
34	15023.56041
35	14967.27606
36	14884.84225
37	14834.95256
38	14771.82991
39	14712.50691
40	14658.44739
41	14597.80686
42	14523.91438
43	14472.33109
44	14395.45418
45	14322.81748
46	14263.19807
47	14198.38231
48	14128.61147
49	14069.29789
50	13998.63653
51	13933.54928
52	13890.52362
53	13830.72854
54	13769.23012
55	13715.40794
56	13653.35004
57	13609.82377
58	13551.30267
59	13493.56838
60	13445.17138
61	13387.2394
62	13330.33658
63	13279.05926
64	13222.18568
65	13171.12566
66	13117.46501
67	13080.88293
68	13025.00313
69	12977.82536
70	12928.87369
71	12886.3094
72	12840.74528
73	12789.97773
74	12747.24029
75	12700.35353
76	12653.39928
77	12601.05735
78	12554.74935
79	12505.61863
80	12461.31253
81	12427.61558
82	12375.7653
83	12335.53713
84	12298.94703
85	12250.14574
86	12214.14188
87	12168.61452
88	12132.5765
89	12089.60477
90	12045.08461
91	12007.79021
92	11978.24777
93	11946.4742
94	11900.36141
95	11866.18464
96	11846.06557
97	11810.5807
98	11778.63561
99	11741.67865
100	11704.53062
101	11679.92197
102	11639.62964
103	11603.24412
104	11576.36634
105	11539.09189
106	11498.419
107	11466.68402
108	11426.82825
109	11403.50637
110	11366.91118
111	11327.16815
112	11290.61795
113	11266.44081
114	11235.90832
115	11205.80879
116	11175.25956
117	11150.04593
118	11112.35561
119	11082.48272
120	11052.25015
121	11018.42449
122	10988.88537
123	10956.8841
124	10939.646
125	10907.06055
126	10891.53458
127	10858.86649
128	10826.00859
129	10795.5229
130	10771.34547
131	10741.64604
132	10714.04437
133	10688.31406
134	10667.19502
135	10637.02486
136	10605.38259
137	10575.23522
138	10547.30169
139	10519.05143
140	10490.05408
141	10461.08575
142	10434.52327
143	10405.53644
144	10380.55526
145	10356.55696
146	10329.06396
147	10309.04904
148	10283.19708
149	10259.06928
150	10231.54442
151	10207.70737
152	10188.06087
153	10161.25028
154	10141.10625
155	10119.25572
156	10093.61738
157	10068.94894
158	10046.05969
159	10025.54914
160	10011.15116
161	9999.307582
162	9973.148668
163	9949.936022
164	9926.944745
165	9913.053829
166	9893.301088
167	9874.78185
168	9855.314595
169	9846.617054
170	9827.645056
171	9806.932394
172	9788.630257
173	9773.703968
174	9752.95213
175	9739.329779
176	9717.476261
177	9702.511076
178	9683.141383
179	9666.512436
180	9648.956651
181	9633.161686
182	9613.651634
183	9596.49205
184	9581.70658
185	9564.307354
186	9547.488447
187	9537.826661
188	9523.400468
189	9504.087187
190	9484.074746
191	9469.034802
192	9458.164934
193	9448.98859
194	9431.915501
195	9421.139812
196	9405.723025
197	9387.866893
198	9372.914325
199	9357.450002
200	9344.330553
201	9332.354888
202	9320.522616
203	9309.849685
204	9297.638554
205	9281.878039
206	9263.944547
207	9252.297439
208	9236.840636
209	9225.677555
210	9210.942698
211	9198.175813
212	9184.064481
213	9170.900057
214	9155.861078
215	9144.193204
216	9128.688447
217	9112.843611
218	9098.957282
219	9085.535071
220	9075.093317
221	9066.084756
222	9049.799542
223	9039.336311
224	9026.486703
225	9011.628936
226	8999.152528
227	8987.419829
228	8973.884044
229	8963.261707
230	8952.141202
231	8938.822538
232	8928.279187
233	8910.28622
234	8897.736112
235	8883.176653
236	8870.197756
237	8858.804422
238	8845.27038
239	8833.078656
240	8822.228976
241	8813.107721
242	8802.921292
243	8793.5323
244	8786.349864
245	8772.408797
246	8761.936827
247	8753.624118
248	8746.154312
249	8734.348328
250	8725.412747
251	8712.853714
252	8702.926406
253	8692.102575
254	8683.164115
255	8667.134381
256	8656.822739
257	8645.632833
258	8633.436153
259	8621.547797
260	8612.32957
261	8604.193777
262	8591.971974
263	8578.957144
264	8569.051404
265	8560.948961
266	8555.375367
267	8545.36727
268	8539.021191
269	8528.073354
270	8517.647971
271	8507.726492
272	8499.678335
273	8492.019668
274	8479.904886
275	8469.403951
276	8458.91673
277	8450.864167
278	8443.392422
279	8435.568975
280	8422.648296
281	8414.91219
282	8405.888648
283	8396.308507
