iter	Passed	Remaining
0	1	562
1	1	452
2	2	445
3	3	424
4	4	420
5	4	408
6	6	427
7	7	431
8	8	454
9	9	441
10	9	432
11	10	416
12	10	408
13	11	397
14	12	391
15	12	389
16	13	389
17	14	385
18	15	380
19	15	369
20	16	365
21	16	364
22	17	362
23	18	361
24	18	360
25	19	361
26	20	356
27	21	354
28	22	359
29	22	358
30	23	354
31	24	352
32	24	351
33	25	350
34	26	351
35	27	350
36	27	347
37	28	347
38	29	345
39	29	344
40	30	339
41	31	338
42	31	335
43	32	334
44	33	333
45	33	332
46	34	334
47	36	345
48	37	348
49	38	347
50	39	346
51	40	345
52	40	344
53	41	343
54	42	341
55	42	340
56	43	338
57	43	334
58	44	334
59	45	333
60	46	332
61	46	331
62	47	330
63	48	331
64	50	336
65	51	336
66	51	335
67	52	335
68	53	334
69	53	331
70	54	331
71	55	329
72	56	328
73	56	327
74	57	326
75	58	325
76	58	323
77	59	323
78	60	322
79	61	322
80	62	322
81	63	322
82	64	325
83	65	324
84	66	323
85	66	322
86	67	321
87	68	320
88	69	319
89	70	319
90	70	318
91	71	317
92	72	315
93	72	315
94	73	314
95	74	313
96	74	311
97	75	310
98	76	311
99	78	312
100	79	315
101	80	314
102	81	313
103	82	312
104	82	311
105	83	310
106	83	308
107	84	307
108	85	306
109	86	305
110	86	304
111	87	302
112	87	301
113	88	299
114	89	298
115	90	298
116	90	297
117	91	296
118	93	300
119	94	300
120	95	299
121	96	299
122	97	298
123	98	297
124	98	296
125	99	295
126	99	293
127	100	292
128	101	291
129	101	290
130	102	288
131	103	287
132	103	286
133	104	285
134	105	285
135	107	286
136	108	286
137	108	285
138	109	284
139	110	284
140	111	283
141	111	282
142	112	281
143	113	280
144	114	279
145	114	278
146	115	277
147	116	275
148	116	275
149	117	274
150	118	273
151	119	273
152	121	274
153	122	274
154	122	273
155	123	272
156	124	271
157	125	270
158	125	269
159	126	268
160	127	267
161	127	266
162	128	265
163	128	264
164	129	262
165	129	261
166	130	260
167	131	259
168	131	258
169	132	256
170	135	260
171	136	259
172	137	259
173	137	258
174	138	257
175	139	256
176	139	255
177	140	254
178	141	253
179	142	252
180	142	251
181	143	250
182	144	249
183	144	248
184	145	247
185	146	247
186	147	246
187	148	246
188	149	246
189	150	245
190	151	244
191	152	244
192	152	243
193	153	241
194	154	240
195	154	239
196	155	238
197	156	238
198	156	237
199	157	236
