Year,Region,Total_Births
2013,"Adana, Mersin-TR62",66659
2013,Ankara-TR51,72976
2013,"Antalya, Isparta, Burdur-TR61",41488
2013,"Aydın, Denizli, Muğla-TR32",37375
2013,"Ağrı, Kars, Iğdır, Ardahan-TRA2",29487
2013,"Balıkesir, Çanakkale-TR22",18384
2013,"Bursa, Eskişehir, Bilecik-TR41",53468
2013,"Erzurum, Erzincan, Bayburt-TRA1",20118
2013,"Gaziantep, Adıyaman, Kilis-TRC1",62632
2013,"Hatay, Kahramanmaraş, Osmaniye-TR63",62539
2013,"Kastamonu, Çankırı, Sinop-TR82",8808
2013,"Kayseri, Sivas, Yozgat-TR72",38365
2013,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",52293
2013,"Konya, Karaman-TR52",39617
2013,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",23304
2013,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",27353
2013,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",41548
2013,"Mardin, Batman, Şırnak, Siirt-TRC3",57514
2013,"Samsun, Tokat, Çorum, Amasya-TR83",36559
2013,"Tekirdağ, Edirne, Kırklareli-TR21",20422
2013,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",32558
2013,"Van, Muş, Bitlis, Hakkari-TRB2",57610
2013,"Zonguldak, Karabük, Bartın-TR81",12002
2013,İstanbul-TR10,229390
2013,İzmir-TR31,53376
2013,"Şanlıurfa, Diyarbakır-TRC2",101660
2014,"Adana, Mersin-TR62",69077
2014,Ankara-TR51,76659
2014,"Antalya, Isparta, Burdur-TR61",43311
2014,"Aydın, Denizli, Muğla-TR32",38892
2014,"Ağrı, Kars, Iğdır, Ardahan-TRA2",29623
2014,"Balıkesir, Çanakkale-TR22",18954
2014,"Bursa, Eskişehir, Bilecik-TR41",55449
2014,"Erzurum, Erzincan, Bayburt-TRA1",20373
2014,"Gaziantep, Adıyaman, Kilis-TRC1",66088
2014,"Hatay, Kahramanmaraş, Osmaniye-TR63",64884
2014,"Kastamonu, Çankırı, Sinop-TR82",8669
2014,"Kayseri, Sivas, Yozgat-TR72",39524
2014,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",55666
2014,"Konya, Karaman-TR52",40746
2014,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",23922
2014,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",28587
2014,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",42640
2014,"Mardin, Batman, Şırnak, Siirt-TRC3",61196
2014,"Samsun, Tokat, Çorum, Amasya-TR83",36530
2014,"Tekirdağ, Edirne, Kırklareli-TR21",21184
2014,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",32817
2014,"Van, Muş, Bitlis, Hakkari-TRB2",58440
2014,"Zonguldak, Karabük, Bartın-TR81",11900
2014,İstanbul-TR10,242397
2014,İzmir-TR31,55906
2014,"Şanlıurfa, Diyarbakır-TRC2",107654
2015,"Adana, Mersin-TR62",67982
2015,Ankara-TR51,77368
2015,"Antalya, Isparta, Burdur-TR61",44203
2015,"Aydın, Denizli, Muğla-TR32",39149
2015,"Ağrı, Kars, Iğdır, Ardahan-TRA2",28128
2015,"Balıkesir, Çanakkale-TR22",18284
2015,"Bursa, Eskişehir, Bilecik-TR41",55927
2015,"Erzurum, Erzincan, Bayburt-TRA1",19592
