Year,Region,Gender,Age_Group,Environment,Population
2007,"Adana, Mersin-TR62",Male,0-4,Rural,37837.0
2007,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,34500.0
2007,Ankara-TR51,Male,0-4,Rural,12957.0
2007,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,34126.0
2007,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,44644.0
2007,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,17813.0
2007,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,19220.0
2007,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,21742.0
2007,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,27665.0
2007,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,65075.0
2007,İstanbul-TR10,Male,0-4,Rural,62872.0
2007,İzmir-TR31,Male,0-4,Rural,17788.0
2007,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,9945.0
2007,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,29991.0
2007,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,25917.0
2007,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,42734.0
2007,"Konya, Karaman-TR52",Male,0-4,Rural,26001.0
2007,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,24436.0
2007,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,39874.0
2007,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,55282.0
2007,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,41255.0
2007,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,87564.0
2007,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,13053.0
2007,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,36523.0
2007,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,75848.0
2007,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,16558.0
2008,"Adana, Mersin-TR62",Male,0-4,Rural,25260.0
2008,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,35780.0
2008,Ankara-TR51,Male,0-4,Rural,4753.0
2008,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,30863.0
2008,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,39532.0
2008,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,17642.0
2008,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,12521.0
2008,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,20585.0
2008,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,27275.0
2008,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,68531.0
2008,İstanbul-TR10,Male,0-4,Rural,4330.0
2008,İzmir-TR31,Male,0-4,Rural,10102.0
2008,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,9797.0
2008,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,25234.0
