Year,Region,Rural,Urban,Total_Population,Total_Births,Net_Migration
2013,"Adana, Mersin-TR62",0.0,3855034.0,3855034.0,66659,-16349
2014,"Adana, Mersin-TR62",0.0,3892850.0,3892850.0,69077,-10864
2015,"Adana, Mersin-TR62",0.0,3928388.0,3928388.0,67982,-13778
2016,"Adana, Mersin-TR62",0.0,3975522.0,3975522.0,66331,-7094
2017,"Adana, Mersin-TR62",0.0,4010406.0,4010406.0,64830,-14226
2018,"Adana, Mersin-TR62",0.0,4034593.0,4034593.0,62138,-25116
2019,"Adana, Mersin-TR62",0.0,4078365.0,4078365.0,58001,-7633
2020,"Adana, Mersin-TR62",0.0,4127475.0,4127475.0,54484,14339
2021,"Adana, Mersin-TR62",0.0,4154518.0,4154518.0,53029,-12696
2022,"Adana, Mersin-TR62",0.0,4190538.0,4190538.0,52309,-3155
2023,"Adana, Mersin-TR62",0.0,4208687.0,4208687.0,48009,1290
2024,"Adana, Mersin-TR62",0.0,4234763.0,4234763.0,46626,5105
2013,Ankara-TR51,0.0,5045083.0,5045083.0,72976,32851
2014,Ankara-TR51,0.0,5150072.0,5150072.0,76659,40009
2015,Ankara-TR51,0.0,5270575.0,5270575.0,77368,51047
2016,Ankara-TR51,0.0,5346518.0,5346518.0,76388,17251
2017,Ankara-TR51,0.0,5445026.0,5445026.0,75902,32042
2018,Ankara-TR51,0.0,5503985.0,5503985.0,73270,-37365
2019,Ankara-TR51,0.0,5639076.0,5639076.0,68684,57280
2020,Ankara-TR51,0.0,5663322.0,5663322.0,63807,11997
2021,Ankara-TR51,0.0,5747325.0,5747325.0,60214,32098
2022,Ankara-TR51,0.0,5782285.0,5782285.0,58020,27192
2023,Ankara-TR51,0.0,5803482.0,5803482.0,54404,23960
2024,Ankara-TR51,0.0,5864049.0,5864049.0,52198,52029
2013,"Antalya, Isparta, Burdur-TR61",219868.0,2613438.0,2833306.0,41488,24608
2014,"Antalya, Isparta, Burdur-TR61",213912.0,2684328.0,2898240.0,43311,24426
2015,"Antalya, Isparta, Burdur-TR61",208613.0,2759948.0,2968561.0,44203,28740
2016,"Antalya, Isparta, Burdur-TR61",206136.0,2811144.0,3017280.0,43726,10021
2017,"Antalya, Isparta, Burdur-TR61",202046.0,2860959.0,3063005.0,41919,15417
2018,"Antalya, Isparta, Burdur-TR61",205964.0,2931730.0,3137694.0,40176,27656
2019,"Antalya, Isparta, Burdur-TR61",201531.0,3025879.0,3227410.0,38208,29680
2020,"Antalya, Isparta, Burdur-TR61",199713.0,3055991.0,3255704.0,36521,13463
2021,"Antalya, Isparta, Burdur-TR61",195828.0,3143398.0,3339226.0,35410,14804
2022,"Antalya, Isparta, Burdur-TR61",191818.0,3215310.0,3407128.0,33948,14810
2023,"Antalya, Isparta, Burdur-TR61",195146.0,3228332.0,3423478.0,32438,36377
2024,"Antalya, Isparta, Burdur-TR61",191963.0,3252375.0,3444338.0,30652,21335
2013,"Aydın, Denizli, Muğla-TR32",0.0,2851086.0,2851086.0,37375,9958
2014,"Aydın, Denizli, Muğla-TR32",0.0,2915188.0,2915188.0,38892,35502
2015,"Aydın, Denizli, Muğla-TR32",0.0,2955825.0,2955825.0,39149,14727
2016,"Aydın, Denizli, Muğla-TR32",0.0,2997720.0,2997720.0,38564,18176
2017,"Aydın, Denizli, Muğla-TR32",0.0,3038325.0,3038325.0,38707,18563
2018,"Aydın, Denizli, Muğla-TR32",0.0,3093015.0,3093015.0,37136,28024
2019,"Aydın, Denizli, Muğla-TR32",0.0,3131322.0,3131322.0,35004,10125
2020,"Aydın, Denizli, Muğla-TR32",0.0,3160772.0,3160772.0,33366,19003
2021,"Aydın, Denizli, Muğla-TR32",0.0,3206228.0,3206228.0,32337,26760
2022,"Aydın, Denizli, Muğla-TR32",0.0,3252758.0,3252758.0,31467,24733
2023,"Aydın, Denizli, Muğla-TR32",0.0,3287520.0,3287520.0,30025,36980
2024,"Aydın, Denizli, Muğla-TR32",0.0,3309181.0,3309181.0,28666,18584
2013,"Ağrı, Kars, Iğdır, Ardahan-TRA2",582726.0,562531.0,1145257.0,29487,-26054
2014,"Ağrı, Kars, Iğdır, Ardahan-TRA2",566105.0,572661.0,1138766.0,29623,-31011
2015,"Ağrı, Kars, Iğdır, Ardahan-TRA2",547982.0,583588.0,1131570.0,28128,-29498
2016,"Ağrı, Kars, Iğdır, Ardahan-TRA2",537842.0,585319.0,1123161.0,27278,-27249
2017,"Ağrı, Kars, Iğdır, Ardahan-TRA2",525929.0,589881.0,1115810.0,26468,-26745
2018,"Ağrı, Kars, Iğdır, Ardahan-TRA2",533051.0,591847.0,1124898.0,24388,-11501
2019,"Ağrı, Kars, Iğdır, Ardahan-TRA2",519491.0,598879.0,1118370.0,23775,-20096
2020,"Ağrı, Kars, Iğdır, Ardahan-TRA2",511397.0,606436.0,1117833.0,21882,-15413
2021,"Ağrı, Kars, Iğdır, Ardahan-TRA2",496079.0,607733.0,1103812.0,20750,-29459
2022,"Ağrı, Kars, Iğdır, Ardahan-TRA2",474135.0,607395.0,1081530.0,18801,-32636
2023,"Ağrı, Kars, Iğdır, Ardahan-TRA2",471137.0,620993.0,1092130.0,16515,-6382
2024,"Ağrı, Kars, Iğdır, Ardahan-TRA2",451847.0,618465.0,1070312.0,15903,-29180
2013,"Balıkesir, Çanakkale-TR22",213558.0,1451531.0,1665089.0,18384,5550
2014,"Balıkesir, Çanakkale-TR22",214704.0,1486143.0,1700847.0,18954,24522
2015,"Balıkesir, Çanakkale-TR22",211155.0,1488874.0,1700029.0,18284,-3505
2016,"Balıkesir, Çanakkale-TR22",211652.0,1504317.0,1715969.0,18370,10001
2017,"Balıkesir, Çanakkale-TR22",210631.0,1524610.0,1735241.0,18413,9175
2018,"Balıkesir, Çanakkale-TR22",214636.0,1552601.0,1767237.0,18144,23615
2019,"Balıkesir, Çanakkale-TR22",213421.0,1557356.0,1770777.0,17120,1441
2020,"Balıkesir, Çanakkale-TR22",212346.0,1569487.0,1781833.0,16372,11187
2021,"Balıkesir, Çanakkale-TR22",213268.0,1594618.0,1807886.0,15571,21712
2022,"Balıkesir, Çanakkale-TR22",213357.0,1603616.0,1816973.0,15489,14191
2023,"Balıkesir, Çanakkale-TR22",217236.0,1626782.0,1844018.0,15132,27580
2024,"Balıkesir, Çanakkale-TR22",216299.0,1628763.0,1845062.0,14615,7966
2013,"Bursa, Eskişehir, Bilecik-TR41",48090.0,3701492.0,3749582.0,53468,20367
2014,"Bursa, Eskişehir, Bilecik-TR41",46416.0,3763368.0,3809784.0,55449,23616
2015,"Bursa, Eskişehir, Bilecik-TR41",44669.0,3836955.0,3881624.0,55927,28522
2016,"Bursa, Eskişehir, Bilecik-TR41",43626.0,3920909.0,3964535.0,55808,32668
2017,"Bursa, Eskişehir, Bilecik-TR41",42445.0,3976671.0,4019116.0,55552,33860
2018,"Bursa, Eskişehir, Bilecik-TR41",43146.0,4046010.0,4089156.0,54819,3262
2019,"Bursa, Eskişehir, Bilecik-TR41",40893.0,4122129.0,4163022.0,51714,24437
2020,"Bursa, Eskişehir, Bilecik-TR41",39936.0,4169442.0,4209378.0,49342,22800
2021,"Bursa, Eskişehir, Bilecik-TR41",38378.0,4236143.0,4274521.0,47659,23704
2022,"Bursa, Eskişehir, Bilecik-TR41",37900.0,4292110.0,4330010.0,45544,30553
2023,"Bursa, Eskişehir, Bilecik-TR41",39530.0,4318517.0,4358047.0,43103,19663
2024,"Bursa, Eskişehir, Bilecik-TR41",37616.0,4351127.0,4388743.0,41525,22020
2013,"Erzurum, Erzincan, Bayburt-TRA1",128660.0,933685.0,1062345.0,20118,-16711
2014,"Erzurum, Erzincan, Bayburt-TRA1",129177.0,938383.0,1067560.0,20373,-12077
2015,"Erzurum, Erzincan, Bayburt-TRA1",128016.0,935773.0,1063789.0,19592,-17014
2016,"Erzurum, Erzincan, Bayburt-TRA1",130212.0,947995.0,1078207.0,19331,863
2017,"Erzurum, Erzincan, Bayburt-TRA1",132101.0,940303.0,1072404.0,18794,-19954
2018,"Erzurum, Erzincan, Bayburt-TRA1",99910.0,986246.0,1086156.0,17544,964
2019,"Erzurum, Erzincan, Bayburt-TRA1",89509.0,992143.0,1081652.0,16876,-15392
2020,"Erzurum, Erzincan, Bayburt-TRA1",85946.0,988674.0,1074620.0,15719,-12912
2021,"Erzurum, Erzincan, Bayburt-TRA1",83148.0,996138.0,1079286.0,15297,-3122
2022,"Erzurum, Erzincan, Bayburt-TRA1",83198.0,990020.0,1073218.0,13954,-13327
2023,"Erzurum, Erzincan, Bayburt-TRA1",98852.0,980587.0,1079439.0,13016,-1361
2024,"Erzurum, Erzincan, Bayburt-TRA1",88727.0,981193.0,1069920.0,12193,-17804
2013,"Gaziantep, Adıyaman, Kilis-TRC1",258947.0,2311261.0,2570208.0,62632,-8270
2014,"Gaziantep, Adıyaman, Kilis-TRC1",249447.0,2366635.0,2616082.0,66088,-7421
2015,"Gaziantep, Adıyaman, Kilis-TRC1",242546.0,2422719.0,2665265.0,65233,-7781
2016,"Gaziantep, Adıyaman, Kilis-TRC1",239046.0,2476507.0,2715553.0,63328,-8992
2017,"Gaziantep, Adıyaman, Kilis-TRC1",235202.0,2521708.0,2756910.0,62271,-7606
2018,"Gaziantep, Adıyaman, Kilis-TRC1",239104.0,2556513.0,2795617.0,60898,-16433
2019,"Gaziantep, Adıyaman, Kilis-TRC1",229025.0,2609294.0,2838319.0,57042,-10779
2020,"Gaziantep, Adıyaman, Kilis-TRC1",224520.0,2651888.0,2876408.0,54164,-1309
2021,"Gaziantep, Adıyaman, Kilis-TRC1",217436.0,2690970.0,2908406.0,54770,-14322
2022,"Gaziantep, Adıyaman, Kilis-TRC1",208449.0,2728690.0,2937139.0,53010,-9707
2023,"Gaziantep, Adıyaman, Kilis-TRC1",223081.0,2701210.0,2924291.0,46449,-28243
