Year,Region,Net_Migration
2013,"Adana, Mersin-TR62",-16349
2013,"Ağrı, Kars, Iğdır, Ardahan-TRA2",-26054
2013,Ankara-TR51,32851
2013,"Antalya, Isparta, Burdur-TR61",24608
2013,"Aydın, Denizli, Muğla-TR32",9958
2013,"Balıkesir, Çanakkale-TR22",5550
2013,"Bursa, Eskişehir, Bilecik-TR41",20367
2013,"Erzurum, Erzincan, Bayburt-TRA1",-16711
2013,"Gaziantep, Adıyaman, Kilis-TRC1",-8270
2013,"Hatay, Kahramanmaraş, Osmaniye-TR63",-15277
2013,İstanbul-TR10,66321
2013,İzmir-TR31,13992
2013,"Kastamonu, Çankırı, Sinop-TR82",11768
2013,"Kayseri, Sivas, Yozgat-TR72",-10983
2013,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",-7638
2013,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",26677
2013,"Konya, Karaman-TR52",-4624
2013,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",-4314
2013,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",-8209
2013,"Mardin, Batman, Şırnak, Siirt-TRC3",-11517
2013,"Samsun, Tokat, Çorum, Amasya-TR83",-30610
2013,"Şanlıurfa, Diyarbakır-TRC2",-26529
2013,"Tekirdağ, Edirne, Kırklareli-TR21",13710
2013,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",-9223
2013,"Van, Muş, Bitlis, Hakkari-TRB2",-22658
2013,"Zonguldak, Karabük, Bartın-TR81",-6836
2014,"Adana, Mersin-TR62",-10864
2014,"Ağrı, Kars, Iğdır, Ardahan-TRA2",-31011
2014,Ankara-TR51,40009
2014,"Antalya, Isparta, Burdur-TR61",24426
2014,"Aydın, Denizli, Muğla-TR32",35502
2014,"Balıkesir, Çanakkale-TR22",24522
2014,"Bursa, Eskişehir, Bilecik-TR41",23616
2014,"Erzurum, Erzincan, Bayburt-TRA1",-12077
2014,"Gaziantep, Adıyaman, Kilis-TRC1",-7421
2014,"Hatay, Kahramanmaraş, Osmaniye-TR63",-10121
2014,İstanbul-TR10,14336
2014,İzmir-TR31,22992
2014,"Kastamonu, Çankırı, Sinop-TR82",-10352
2014,"Kayseri, Sivas, Yozgat-TR72",-9068
2014,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",-16792
2014,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",32573
2014,"Konya, Karaman-TR52",-770
2014,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",-9605
2014,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",-12379
2014,"Mardin, Batman, Şırnak, Siirt-TRC3",-18769
2014,"Samsun, Tokat, Çorum, Amasya-TR83",-16932
2014,"Şanlıurfa, Diyarbakır-TRC2",-24459
2014,"Tekirdağ, Edirne, Kırklareli-TR21",21926
2014,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",-4556
2014,"Van, Muş, Bitlis, Hakkari-TRB2",-37192
2014,"Zonguldak, Karabük, Bartın-TR81",-7534
2015,"Adana, Mersin-TR62",-13778
2015,"Ağrı, Kars, Iğdır, Ardahan-TRA2",-29498
2015,Ankara-TR51,51047
2015,"Antalya, Isparta, Burdur-TR61",28740
2015,"Aydın, Denizli, Muğla-TR32",14727
2015,"Balıkesir, Çanakkale-TR22",-3505
2015,"Bursa, Eskişehir, Bilecik-TR41",28522
2015,"Erzurum, Erzincan, Bayburt-TRA1",-17014
2015,"Gaziantep, Adıyaman, Kilis-TRC1",-7781
2015,"Hatay, Kahramanmaraş, Osmaniye-TR63",-14803
2015,İstanbul-TR10,50543
2015,İzmir-TR31,20849
2015,"Kastamonu, Çankırı, Sinop-TR82",-1152
2015,"Kayseri, Sivas, Yozgat-TR72",-18308
2015,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",-7086
2015,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",43645
2015,"Konya, Karaman-TR52",-909
2015,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",-8325
2015,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",-3329
2015,"Mardin, Batman, Şırnak, Siirt-TRC3",-32403
2015,"Samsun, Tokat, Çorum, Amasya-TR83",-16613
2015,"Şanlıurfa, Diyarbakır-TRC2",-30346
2015,"Tekirdağ, Edirne, Kırklareli-TR21",24148
2015,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",-15180
2015,"Van, Muş, Bitlis, Hakkari-TRB2",-40304
2015,"Zonguldak, Karabük, Bartın-TR81",-1887
2016,"Adana, Mersin-TR62",-7094
2016,"Ağrı, Kars, Iğdır, Ardahan-TRA2",-27249
2016,Ankara-TR51,17251
2016,"Antalya, Isparta, Burdur-TR61",10021
2016,"Aydın, Denizli, Muğla-TR32",18176
2016,"Balıkesir, Çanakkale-TR22",10001
2016,"Bursa, Eskişehir, Bilecik-TR41",32668
2016,"Erzurum, Erzincan, Bayburt-TRA1",863
2016,"Gaziantep, Adıyaman, Kilis-TRC1",-8992
2016,"Hatay, Kahramanmaraş, Osmaniye-TR63",-3221
2016,İstanbul-TR10,-71307
2016,İzmir-TR31,23766
2016,"Kastamonu, Çankırı, Sinop-TR82",2368
2016,"Kayseri, Sivas, Yozgat-TR72",-7459
2016,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",7088
2016,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",45323
2016,"Konya, Karaman-TR52",1494
2016,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",-4475
2016,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",1108
2016,"Mardin, Batman, Şırnak, Siirt-TRC3",-37429
2016,"Samsun, Tokat, Çorum, Amasya-TR83",1746
2016,"Şanlıurfa, Diyarbakır-TRC2",-27554
2016,"Tekirdağ, Edirne, Kırklareli-TR21",27386
2016,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",39460
2016,"Van, Muş, Bitlis, Hakkari-TRB2",-46132
2016,"Zonguldak, Karabük, Bartın-TR81",2193
